Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr
148,9506.23307,,,1.66768e-07,,,,166768.0,,27.85,75.0062
149,9506.23407,,,1.7113e-07,,,,171130.0,,27.85,75.0062
150,9506.23507,,,1.75896e-07,,,,175896.0,,27.85,75.0062
151,9506.23607,,,1.81203e-07,,,,181203.0,,27.85,75.0062
152,9506.23707,,,1.87191e-07,,,,187191.0,,27.85,75.0062
153,9506.23807,,,1.93999e-07,,,,193999.0,,27.85,75.0062
154,9506.23907,,,2.0176e-07,,,,201760.0,,27.85,75.0062
155,9506.24007,,,2.1048e-07,,,,210480.0,,27.85,75.0062
156,9506.24107,,,2.2009e-07,,,,220090.0,,27.85,75.0062
157,9506.24207,,,2.30522e-07,,,,230522.0,,27.85,75.0062
158,9506.24307,,,2.41705e-07,,,,241704.99999999997,,27.85,75.0062
159,9506.24408,,,2.53567e-07,,,,253566.99999999997,,27.85,75.0062
160,9506.24508,,,2.66036e-07,,,,266036.0,,27.85,75.0062
161,9506.24608,,,2.79037e-07,,,,279037.0,,27.85,75.0062
162,9506.24708,,,2.92494e-07,,,,292494.0,,27.85,75.0062
163,9506.24808,,,3.06329e-07,,,,306329.0,,27.85,75.0062
164,9506.24908,,,3.20467e-07,,,,320467.0,,27.85,75.0062
165,9506.25008,,,3.34901e-07,,,,334901.0,,27.85,75.0062
166,9506.25108,,,3.4967e-07,,,,349670.0,,27.85,75.0062
167,9506.25208,,,3.64818e-07,,,,364818.0,,27.85,75.0062
168,9506.25308,,,3.80386e-07,,,,380386.0,,27.85,75.0062
169,9506.25408,,,3.96421e-07,,,,396421.0,,27.85,75.0062
170,9506.25508,,,4.12977e-07,,,,412977.0,,27.85,75.0062
171,9506.25608,,,4.30107e-07,,,,430107.0,,27.85,75.0062
172,9506.25708,,,4.47866e-07,,,,447866.0,,27.85,75.0062
173,9506.25808,,,4.66311e-07,,,,466311.0,,27.85,75.0062
174,9506.25908,,,4.85501e-07,,,,485501.0,,27.85,75.0062
175,9506.26008,,,5.05557e-07,,,,505556.99999999994,,27.85,75.0062
176,9506.26109,,,5.26678e-07,,,,526678.0,,27.85,75.0062
177,9506.26209,,,5.4908e-07,,,,549080.0,,27.85,75.0062
178,9506.26309,,,5.72984e-07,,,,572984.0,,27.85,75.0062
179,9506.26409,,,5.98622e-07,,,,598622.0,,27.85,75.0062
180,9506.26509,,,6.26232e-07,,,,626232.0,,27.85,75.0062
181,9506.26609,,,6.56036e-07,,,,656036.0,,27.85,75.0062
182,9506.26709,,,6.88268e-07,,,,688268.0,,27.85,75.0062
183,9506.26809,,,7.23178e-07,,,,723178.0,,27.85,75.0062
184,9506.26909,,,7.61037e-07,,,,761037.0,,27.85,75.0062
185,9506.27009,,,8.02139e-07,,,,802139.0,,27.85,75.0062
186,9506.27109,,,8.46807e-07,,,,846807.0,,27.85,75.0062
187,9506.27209,,,8.95445e-07,,,,895445.0,,27.85,75.0062
188,9506.27309,,,9.48574e-07,,,,948574.0,,27.85,75.0062
189,9506.27409,,,1.00678e-06,,,,1006779.9999999999,,27.85,75.0062
190,9506.27509,,,1.07072e-06,,,,1070720.0,,27.85,75.0062
191,9506.27609,,,1.14112e-06,,,,1141120.0,,27.85,75.0062
192,9506.27709,,,1.21882e-06,,,,1218820.0,,27.85,75.0062
193,9506.2781,,,1.30479e-06,,,,1304790.0,,27.85,75.0062
194,9506.2791,,,1.40015e-06,,,,1400150.0,,27.85,75.0062
195,9506.2801,,,1.50623e-06,,,,1506230.0,,27.85,75.0062
196,9506.2811,,,1.62456e-06,,,,1624560.0,,27.85,75.0062
197,9506.2821,,,1.75647e-06,,,,1756470.0,,27.85,75.0062
198,9506.2831,,,1.90209e-06,,,,1902090.0,,27.85,75.0062
199,9506.2841,,,2.0612e-06,,,,2061199.9999999998,,27.85,75.0062
200,9506.2851,,,2.23345e-06,,,,2233450.0,,27.85,75.0062
201,9506.2861,,,2.41829e-06,,,,2418290.0,,27.85,75.0062
202,9506.2871,,,2.61491e-06,,,,2614910.0,,27.85,75.0062
203,9506.2881,,,2.82212e-06,,,,2822120.0,,27.85,75.0062
204,9506.2891,,,3.03827e-06,,,,3038270.0,,27.85,75.0062
205,9506.2901,,,3.26115e-06,,,,3261150.0,,27.85,75.0062
206,9506.2911,,,3.48792e-06,,,,3487920.0,,27.85,75.0062
207,9506.2921,,,3.71564e-06,,,,3715640.0,,27.85,75.0062
208,9506.2931,,,3.94116e-06,,,,3941160.0,,27.85,75.0062
209,9506.2941,,,4.16073e-06,,,,4160730.0,,27.85,75.0062
210,9506.29511,,,4.37003e-06,,,,4370030.0,,27.85,75.0062
211,9506.29611,,,4.56418e-06,,,,4564180.0,,27.85,75.0062
212,9506.29711,,,4.73788e-06,,,,4737880.0,,27.85,75.0062
213,9506.29811,,,4.88558e-06,,,,4885580.0,,27.85,75.0062
214,9506.29911,,,5.00169e-06,,,,5001690.0,,27.85,75.0062
215,9506.30011,,,5.08094e-06,,,,5080940.0,,27.85,75.0062
216,9506.30111,,,5.11925e-06,,,,5119250.0,,27.85,75.0062
217,9506.30211,,,5.11563e-06,,,,5115630.0,,27.85,75.0062
218,9506.30311,,,5.07073e-06,,,,5070730.0,,27.85,75.0062
219,9506.30411,,,4.98631e-06,,,,4986310.0,,27.85,75.0062
220,9506.30511,,,4.86508e-06,,,,4865080.0,,27.85,75.0062
221,9506.30611,,,4.71057e-06,,,,4710570.0,,27.85,75.0062
222,9506.30711,,,4.52686e-06,,,,4526860.0,,27.85,75.0062
223,9506.30811,,,4.31839e-06,,,,4318390.0,,27.85,75.0062
224,9506.30911,,,4.08974e-06,,,,4089740.0000000005,,27.85,75.0062
225,9506.31011,,,3.84607e-06,,,,3846070.0,,27.85,75.0062
226,9506.31112,,,3.59465e-06,,,,3594650.0,,27.85,75.0062
227,9506.31212,,,3.34216e-06,,,,3342160.0,,27.85,75.0062
228,9506.31312,,,3.09398e-06,,,,3093980.0,,27.85,75.0062
229,9506.31412,,,2.85427e-06,,,,2854270.0,,27.85,75.0062
230,9506.31512,,,2.62611e-06,,,,2626110.0,,27.85,75.0062
231,9506.31612,,,2.41176e-06,,,,2411760.0,,27.85,75.0062
232,9506.31712,,,2.21275e-06,,,,2212750.0,,27.85,75.0062
233,9506.31812,,,2.03007e-06,,,,2030069.9999999998,,27.85,75.0062
234,9506.31912,,,1.86339e-06,,,,1863390.0,,27.85,75.0062
235,9506.32012,,,1.71132e-06,,,,1711320.0,,27.85,75.0062
236,9506.32112,,,1.57263e-06,,,,1572630.0,,27.85,75.0062
237,9506.32212,,,1.44626e-06,,,,1446260.0,,27.85,75.0062
238,9506.32312,,,1.33129e-06,,,,1331290.0,,27.85,75.0062
239,9506.32412,,,1.22694e-06,,,,1226940.0,,27.85,75.0062
240,9506.32512,,,1.13251e-06,,,,1132510.0,,27.85,75.0062
241,9506.32612,,,1.04742e-06,,,,1047420.0,,27.85,75.0062
242,9506.32712,,,9.71139e-07,,,,971138.9999999999,,27.85,75.0062
243,9506.32813,,,9.02818e-07,,,,902818.0,,27.85,75.0062
244,9506.32913,,,8.41439e-07,,,,841439.0,,27.85,75.0062
245,9506.33013,,,7.86108e-07,,,,786108.0,,27.85,75.0062
246,9506.33113,,,7.36055e-07,,,,736055.0,,27.85,75.0062
247,9506.33213,,,6.90596e-07,,,,690596.0,,27.85,75.0062
248,9506.33313,,,6.49119e-07,,,,649119.0,,27.85,75.0062
249,9506.33413,,,6.11061e-07,,,,611061.0,,27.85,75.0062
250,9506.33513,,,5.75907e-07,,,,575907.0,,27.85,75.0062
251,9506.33613,,,5.4318e-07,,,,543180.0,,27.85,75.0062
252,9506.33713,,,5.12513e-07,,,,512513.0,,27.85,75.0062
253,9506.33813,,,4.83783e-07,,,,483783.0,,27.85,75.0062
254,9506.33913,,,4.56919e-07,,,,456919.0,,27.85,75.0062
255,9506.34013,,,4.31843e-07,,,,431843.0,,27.85,75.0062
256,9506.34113,,,4.08422e-07,,,,408422.0,,27.85,75.0062
257,9506.34213,,,3.8651e-07,,,,386510.0,,27.85,75.0062
258,9506.34313,,,3.65966e-07,,,,365966.0,,27.85,75.0062
259,9506.34413,,,3.46651e-07,,,,346651.0,,27.85,75.0062
260,9506.34514,,,3.28433e-07,,,,328433.0,,27.85,75.0062
261,9506.34614,,,3.11191e-07,,,,311191.0,,27.85,75.0062
262,9506.34714,,,2.94853e-07,,,,294853.0,,27.85,75.0062
263,9506.34814,,,2.79361e-07,,,,279361.0,,27.85,75.0062
264,9506.34914,,,2.6466e-07,,,,264660.0,,27.85,75.0062
265,9506.35014,,,2.50715e-07,,,,250714.99999999997,,27.85,75.0062
266,9506.35114,,,2.37543e-07,,,,237543.0,,27.85,75.0062
267,9506.35214,,,2.2517e-07,,,,225170.0,,27.85,75.0062
268,9506.35314,,,2.13622e-07,,,,213622.0,,27.85,75.0062
269,9506.35414,,,2.02925e-07,,,,202925.0,,27.85,75.0062
270,9506.35514,,,1.93108e-07,,,,193108.0,,27.85,75.0062
271,9506.35614,,,1.84171e-07,,,,184171.0,,27.85,75.0062
272,9506.35714,,,1.76022e-07,,,,176022.0,,27.85,75.0062
273,9506.35814,,,1.68556e-07,,,,168556.0,,27.85,75.0062
274,9506.35914,,,1.61669e-07,,,,161669.0,,27.85,75.0062
275,9506.36014,,,1.5526e-07,,,,155260.0,,27.85,75.0062
276,9506.36114,,,1.49228e-07,,,,149228.0,,27.85,75.0062
277,9506.36215,,,1.43475e-07,,,,143475.0,,27.85,75.0062
278,9506.36315,,,1.37904e-07,,,,137904.0,,27.85,75.0062
279,9506.36415,,,1.3242e-07,,,,132420.0,,27.85,75.0062
280,9506.36515,,,1.26936e-07,,,,126935.99999999999,,27.85,75.0062
281,9506.36615,,,1.21475e-07,,,,121475.0,,27.85,75.0062
282,9506.36715,,,1.16135e-07,,,,116135.0,,27.85,75.0062
283,9506.36815,,,1.11016e-07,,,,111016.0,,27.85,75.0062
284,9506.36915,,,1.06209e-07,,,,106209.0,,27.85,75.0062
285,9506.37015,,,1.01765e-07,,,,101765.0,,27.85,75.0062
286,9506.37115,,,9.77207e-08,,,,97720.7,,27.85,75.0062
287,9506.37215,,,9.411e-08,,,,94110.0,,27.85,75.0062
288,9506.37315,,,9.09676e-08,,,,90967.6,,27.85,75.0062
289,9506.37415,,,8.83279e-08,,,,88327.90000000001,,27.85,75.0062
290,9506.37515,,,8.62133e-08,,,,86213.29999999999,,27.85,75.0062
291,9506.37615,,,8.45475e-08,,,,84547.5,,27.85,75.0062
292,9506.37715,,,8.32044e-08,,,,83204.40000000001,,27.85,75.0062
293,9506.37816,,,8.20584e-08,,,,82058.4,,27.85,75.0062
294,9506.37916,,,8.09868e-08,,,,80986.8,,27.85,75.0062
295,9506.38016,,,7.98972e-08,,,,79897.2,,27.85,75.0062
296,9506.38116,,,7.87149e-08,,,,78714.9,,27.85,75.0062
297,9506.38216,,,7.73662e-08,,,,77366.2,,27.85,75.0062
298,9506.38316,,,7.57771e-08,,,,75777.09999999999,,27.85,75.0062
299,9506.38416,,,7.38745e-08,,,,73874.5,,27.85,75.0062
300,9506.38516,,,7.15896e-08,,,,71589.6,,27.85,75.0062
301,9506.38616,,,6.89212e-08,,,,68921.2,,27.85,75.0062
302,9506.38716,,,6.59192e-08,,,,65919.2,,27.85,75.0062
303,9506.38816,,,6.26352e-08,,,,62635.200000000004,,27.85,75.0062
304,9506.38916,,,5.91204e-08,,,,59120.399999999994,,27.85,75.0062
305,9506.39016,,,5.54235e-08,,,,55423.5,,27.85,75.0062
306,9506.39116,,,5.15863e-08,,,,51586.299999999996,,27.85,75.0062
307,9506.39216,,,4.76494e-08,,,,47649.4,,27.85,75.0062
308,9506.39316,,,4.36532e-08,,,,43653.2,,27.85,75.0062
309,9506.39416,,,3.96378e-08,,,,39637.8,,27.85,75.0062
310,9506.39517,,,3.56439e-08,,,,35643.9,,27.85,75.0062
311,9506.39617,,,3.17248e-08,,,,31724.799999999996,,27.85,75.0062
312,9506.39717,,,2.79432e-08,,,,27943.199999999997,,27.85,75.0062
313,9506.39817,,,2.43617e-08,,,,24361.7,,27.85,75.0062
314,9506.39917,,,2.10425e-08,,,,21042.5,,27.85,75.0062
315,9506.40017,,,1.80471e-08,,,,18047.100000000002,,27.85,75.0062
316,9506.40117,,,1.54329e-08,,,,15432.900000000001,,27.85,75.0062
317,9506.40217,,,1.32547e-08,,,,13254.7,,27.85,75.0062
318,9506.40317,,,1.15674e-08,,,,11567.4,,27.85,75.0062
319,9506.40417,,,1.04256e-08,,,,10425.6,,27.85,75.0062
320,9506.40517,,,9.87919e-09,,,,9879.19,,27.85,75.0062
321,9506.40617,,,9.89044e-09,,,,9890.439999999999,,27.85,75.0062
322,9506.40717,,,1.03514e-08,,,,10351.4,,27.85,75.0062
323,9506.40817,,,1.11523e-08,,,,11152.3,,27.85,75.0062
324,9506.40917,,,1.21836e-08,,,,12183.6,,27.85,75.0062
325,9506.41017,,,1.33355e-08,,,,13335.5,,27.85,75.0062
326,9506.41117,,,1.44983e-08,,,,14498.3,,27.85,75.0062
327,9506.41218,,,1.55635e-08,,,,15563.499999999998,,27.85,75.0062
328,9506.41318,,,1.64235e-08,,,,16423.5,,27.85,75.0062
329,9506.41418,,,1.69705e-08,,,,16970.5,,27.85,75.0062
330,9506.41518,,,1.71011e-08,,,,17101.100000000002,,27.85,75.0062
331,9506.41618,,,1.68039e-08,,,,16803.9,,27.85,75.0062
332,9506.41718,,,1.61527e-08,,,,16152.699999999999,,27.85,75.0062
333,9506.41818,,,1.52248e-08,,,,15224.800000000001,,27.85,75.0062
334,9506.41918,,,1.40972e-08,,,,14097.199999999999,,27.85,75.0062
335,9506.42018,,,1.2847e-08,,,,12847.0,,27.85,75.0062
336,9506.42118,,,1.15511e-08,,,,11551.1,,27.85,75.0062
337,9506.42218,,,1.02859e-08,,,,10285.9,,27.85,75.0062
338,9506.42318,,,9.12801e-09,,,,9128.01,,27.85,75.0062
339,9506.42418,,,8.15342e-09,,,,8153.42,,27.85,75.0062
340,9506.42518,,,7.43815e-09,,,,7438.15,,27.85,75.0062
341,9506.42618,,,7.02285e-09,,,,7022.849999999999,,27.85,75.0062
342,9506.42718,,,6.85589e-09,,,,6855.89,,27.85,75.0062
343,9506.42818,,,6.87086e-09,,,,6870.86,,27.85,75.0062
344,9506.42919,,,7.0014e-09,,,,7001.400000000001,,27.85,75.0062
345,9506.43019,,,7.18124e-09,,,,7181.240000000001,,27.85,75.0062
346,9506.43119,,,7.34407e-09,,,,7344.070000000001,,27.85,75.0062
347,9506.43219,,,7.42361e-09,,,,7423.61,,27.85,75.0062
348,9506.43319,,,7.35374e-09,,,,7353.74,,27.85,75.0062
349,9506.43419,,,7.0692e-09,,,,7069.200000000001,,27.85,75.0062
350,9506.43519,,,6.50519e-09,,,,6505.1900000000005,,27.85,75.0062
351,9506.43619,,,5.60527e-09,,,,5605.2699999999995,,27.85,75.0062
352,9506.43719,,,4.37753e-09,,,,4377.530000000001,,27.85,75.0062
353,9506.43819,,,2.86072e-09,,,,2860.72,,27.85,75.0062
354,9506.43919,,,1.09377e-09,,,,1093.77,,27.85,75.0062
355,9506.44019,,,-8.84398e-10,,,,-884.398,,27.85,75.0062
356,9506.44119,,,-3.03498e-09,,,,-3034.98,,27.85,75.0062
357,9506.44219,,,-5.31929e-09,,,,-5319.29,,27.85,75.0062
358,9506.44319,,,-7.69876e-09,,,,-7698.759999999999,,27.85,75.0062
359,9506.44419,,,-1.0135e-08,,,,-10135.0,,27.85,75.0062
360,9506.4452,,,-1.25899e-08,,,,-12589.9,,27.85,75.0062
361,9506.4462,,,-1.5024e-08,,,,-15024.0,,27.85,75.0062
362,9506.4472,,,-1.73897e-08,,,,-17389.7,,27.85,75.0062
363,9506.4482,,,-1.96362e-08,,,,-19636.199999999997,,27.85,75.0062
364,9506.4492,,,-2.17128e-08,,,,-21712.8,,27.85,75.0062
