Actual Point Number,Total Frequency /MHz,Detuning (MHz),Total Frequency (Detuning),Mean tau/us,Corrected Tau (us),tau std. dev./us,tau rel. std. dev./%,Alpha - Uncorrected,Alpha - Corrected,Cavity Temperature Side 2 /C,Cavity Pressure /Torr,,aaaa
126,9506.18514,,,7.32E-07,,,,20684.7,2.06847,27.85,300.0248,,0.731838
127,9506.18614,,,7.43E-07,,,,16201.7,1.62017,27.85,300.0248,,0.743089
128,9506.18714,,,7.55E-07,,,,12887.7,1.28877,27.85,300.0248,,0.754942
129,9506.18814,,,7.67E-07,,,,11170.8,1.11708,27.85,300.0248,,0.767381
130,9506.18914,,,7.80E-07,,,,10810.9,1.08109,27.85,300.0248,,0.780391
131,9506.19015,,,7.94E-07,,,,11485.9,1.14859,27.85,300.0248,,0.793955
132,9506.19115,,,8.08E-07,,,,12875.1,1.28751,27.85,300.0248,,0.808058
133,9506.19215,,,8.23E-07,,,,14657.7,1.46577,27.85,300.0248,,0.822684
134,9506.19315,,,8.38E-07,,,,16512.1,1.65121,27.85,300.0248,,0.837816
135,9506.19415,,,8.53E-07,,,,18123.6,1.81236,27.85,300.0248,,0.853439
136,9506.19515,,,8.70E-07,,,,19319.6,1.93196,27.85,300.0248,,0.869536
137,9506.19615,,,8.86E-07,,,,20046.5,2.00465,27.85,300.0248,,0.88609
138,9506.19715,,,9.03E-07,,,,20254.7,2.02547,27.85,300.0248,,0.903096
139,9506.19816,,,9.21E-07,,,,19895,1.9895,27.85,300.0248,,0.92057
140,9506.19916,,,9.39E-07,,,,18918.4,1.89184,27.85,300.0248,,0.938541
141,9506.20016,,,9.57E-07,,,,17280.1,1.72801,27.85,300.0248,,0.957048
142,9506.20116,,,9.76E-07,,,,14964.9,1.49649,27.85,300.0248,,0.976131
143,9506.20216,,,9.96E-07,,,,12174.3,1.21743,27.85,300.0248,,0.99583
144,9506.20316,,,1.02E-06,,,,9244.89,0.924489,27.85,300.0248,,1.01619
145,9506.20416,,,1.04E-06,,,,6514.35,0.651435,27.85,300.0248,,1.03725
146,9506.20516,,,1.06E-06,,,,4319.06,0.431906,27.85,300.0248,,1.05907
147,9506.20617,,,1.08E-06,,,,2994.9,0.29949,27.85,300.0248,,1.08168
