trans_id,molec_id,local_iso_id,nu,sw,a,elower,gp,gpp,elower,global_upper_quanta,global_lower_quanta,local_upper_quanta,local_lower_quanta,gamma0_air,n_gamma0_air,delta0_air,n_delta0_air,SD_gamma_air,n_gamma2_air,SD_delta_air,n_delta2_air,nuVC_air,n_nuVC_air,eta_air,y_air_296,gamma0_self,n_gamma0_self,delta0_self,n_delta0_self,SD_gamma_self,n_gamma2_self,SD_delta_self,n_delta2_self,nuVC_self,n_nuVC_self,eta_self,y_self,n_y_self
11184637,1,4,9102.74545,1.01E-29,5.70E-05,116.4613,54,42,116.4613,          2 0 1,          0 0 0,  4  1  3      ,  3  1  2      ,0.11,0.79,-0.01225,0,0.084519182,0.79,0,0,0,1,0,0,0.442,0.79,-0.01225,0,0.07,0.79,0,0,0,1,0,0,0
11184638,1,4,9102.800847,3.24E-29,0.003837,916.1236,126,138,916.1236,          3 1 0,          0 0 0, 10  0 10      , 11  1 11      ,0.0472,0.79,-0.04882,0,0.084519182,0.79,0,0,0,1,0,0,0.32,0.79,-0.04882,0,0.07,0.79,0,0,0,1,0,0,0
11184639,1,4,9102.895536,3.86E-29,0.004573,916.0289,126,138,916.0289,          3 1 0,          0 0 0, 10  0 10      , 11  0 11      ,0.054,0.79,-0.032716,0,0.084519182,0.79,0,0,0,1,0,0,0.329,0.79,-0.032716,0,0.07,0.79,0,0,0,1,0,0,0
12384217,1,1,9102.994337,3.50E-24,0.01374,508.8121,33,33,508.8121,          0 1 2,          0 0 0,  5  4  1      ,  5  3  2      ,0.092,0.71,-0.01033,0,0.119216686,0.71,0,0,0,1,0,0,0.383,0.71,-0.01033,0,0.096666667,0.71,0,0,0,1,0,0,0
11184641,1,4,9103.004453,6.02E-28,0.005696,221.8362,54,54,221.8362,          2 0 1,          0 0 0,  4  3  1      ,  4  2  2      ,0.0925,0.79,-0.01585,0,0.084519182,0.79,0,0,0,1,0,0,0.593,0.79,-0.01585,0,0.07,0.79,0,0,0,1,0,0,0
11184643,1,3,9103.190159,5.33E-29,0.01558,1078.0692,114,114,1078.0692,         -2-2-2,          0 0 0,  9 -1 -1      ,  9  2  8      ,0.0581,0.55,0,0,0.18111993,0.55,0,0,0,1,0,0,0.315,0.55,0,0,0.15,0.55,0,0,0,1,0,0,0
12384219,1,1,9103.190905,1.77E-29,0.01663,2920.132,17,17,2920.132,          0 2 2,          0 1 0,  8  6  2      ,  8  5  3      ,0.0607,0.58,-0.02518,0,0.172658649,0.58,0,0,0,1,0,0,0.333,0.58,-0.02518,0,0.14,0.58,0,0,0,1,0,0,0
11184645,1,4,9103.198286,3.86E-29,0.004572,916.1236,126,138,916.1236,          3 1 0,          0 0 0, 10  1 10      , 11  1 11      ,0.054,0.79,-0.030103,0,0.084519182,0.79,0,0,0,1,0,0,0.28,0.79,-0.030103,0,0.07,0.79,0,0,0,1,0,0,0
12384220,1,1,9103.228579,2.24E-29,0.2358,3512.4041,27,25,3512.4041,          1 1 1,          0 0 0, 13 11  2      , 12 11  1      ,0.02,0.19,-0.01918,0,0.332984537,0.19,0,0,0,1,0,0,0.265,0.19,-0.01918,0,0.27,0.19,0,0,0,1,0,0,0
12384221,1,1,9103.228589,6.72E-29,0.2357,3512.4041,81,75,3512.4041,          1 1 1,          0 0 0, 13 11  3      , 12 11  2      ,0.02,0.19,-0.0192,0,0.332984537,0.19,0,0,0,1,0,0,0.265,0.19,-0.0192,0,0.27,0.19,0,0,0,1,0,0,0
11184648,1,2,9103.2724,3.81E-27,0.02597,601.2378,15,13,601.2378,          1 1 1,          0 0 0,  7  4  3      ,  6  2  4      ,0.08,0.72,-0.00021,0,0.110396128,0.72,0,0,0,1,0,0,0.436,0.72,-0.00021,0,0.093333333,0.72,0,0,0,1,0,0,0
11184649,1,4,9103.292975,3.24E-29,0.003832,916.0289,126,138,916.0289,          3 1 0,          0 0 0, 10  1 10      , 11  0 11      ,0.0472,0.79,-0.04865,0,0.084519182,0.79,0,0,0,1,0,0,0.329,0.79,-0.04865,0,0.07,0.79,0,0,0,1,0,0,0
11184650,1,4,9103.331736,4.73E-28,0.004728,308.6157,78,78,308.6157,          2 0 1,          0 0 0,  6  2  5      ,  6  1  6      ,0.0845,0.79,-0.02172,0,0.084519182,0.79,0,0,0,1,0,0,0.852,0.79,-0.02172,0,0.07,0.79,0,0,0,1,0,0,0
11184652,1,4,9103.427936,1.27E-28,0.001202,100.3909,30,42,100.3909,          0 7 0,          0 0 0,  2  1  2      ,  3  1  3      ,0.0954,0.79,-0.007563,0,0.084519182,0.79,0,0,0,1,0,0,0.676,0.79,-0.007563,0,0.07,0.79,0,0,0,1,0,0,0
12384222,1,1,9103.494702,7.70E-27,0.008204,1813.2234,69,69,1813.2234,          2 1 0,          0 0 0, 11  6  5      , 11  3  8      ,0.0697,0.64,-0.01284,0,0.147993127,0.64,0,0,0,1,0,0,0.4,0.64,-0.01284,0,0.12,0.64,0,0,0,1,0,0,0
12384223,1,1,9103.52605,7.39E-29,0.008922,2724.167,51,45,2724.167,          2 2 0,          0 1 0,  8  6  3      ,  7  5  2      ,0.0563,0.53,-0.02402,0,0.19321325,0.53,0,0,0,1,0,0,0.352,0.53,-0.02402,0,0.156666667,0.53,0,0,0,1,0,0,0
11184656,1,2,9103.650146,1.86E-29,0.006591,1709.5399,63,63,1709.5399,         -2-2-2,          0 0 0, 10 -3 -3      , 10  5  6      ,0.054,0.51,0,0,0.193193223,0.51,0,0,0,1,0,0,0.298,0.51,0,0,0.163333333,0.51,0,0,0,1,0,0,0
12384225,1,1,9103.659782,5.33E-29,0.01664,2919.6329,51,51,2919.6329,          0 2 2,          0 1 0,  8  6  3      ,  8  5  4      ,0.0588,0.56,-0.02388,0,0.180880489,0.56,0,0,0,1,0,0,0.333,0.56,-0.02388,0,0.146666667,0.56,0,0,0,1,0,0,0
12384226,1,1,9103.675608,2.47E-29,0.008928,2724.0414,17,15,2724.0414,          2 2 0,          0 1 0,  8  6  2      ,  7  5  3      ,0.0556,0.52,-0.02348,0,0.19732417,0.52,0,0,0,1,0,0,0.352,0.52,-0.02348,0,0.16,0.52,0,0,0,1,0,0,0
11184659,1,2,9103.713055,3.23E-28,0.008034,916.2935,19,19,916.2935,          0 1 2,          0 0 0,  9  2  8      ,  9  1  9      ,0.0532,0.47,-0.01464,0,0.208964099,0.47,0,0,0,1,0,0,0.263,0.47,-0.01464,0,0.176666667,0.47,0,0,0,1,0,0,0
12384227,1,1,9103.779473,1.27E-29,5.48E-07,1114.5499,57,63,1114.5499,          1 3 0,          0 0 0,  9  6  3      , 10  1 10      ,0.0717,0.67,-0.00069,0,0.135660367,0.67,0,0,0,1,0,0,0.298,0.67,-0.00069,0,0.11,0.67,0,0,0,1,0,0,0
11184662,1,3,9103.800983,4.01E-29,0.02085,1443.1008,378,378,1443.1008,         -2-2-2,          0 0 0, 10 -2 -1      , 10  3  8      ,0.054,0.51,0,0,0.197219479,0.51,0,0,0,1,0,0,0.298,0.51,0,0,0.163333333,0.51,0,0,0,1,0,0,0
11184663,1,4,9103.841307,2.05E-28,0.006774,609.9465,102,102,609.9465,          2 0 1,          0 0 0,  8  3  6      ,  8  2  7      ,0.0591,0.79,-0.01499,0,0.084519182,0.79,0,0,0,1,0,0,0.575,0.79,-0.01499,0,0.07,0.79,0,0,0,1,0,0,0
11184665,1,4,9103.885904,3.26E-28,0.006823,490.4274,90,90,490.4274,          2 0 1,          0 0 0,  7  3  5      ,  7  2  6      ,0.0801,0.79,-0.01816,0,0.084519182,0.79,0,0,0,1,0,0,0.659,0.79,-0.01816,0,0.07,0.79,0,0,0,1,0,0,0
12384229,1,1,9103.924429,1.82E-28,1.028,3437.2772,35,33,3437.2772,          1 1 1,          0 0 0, 17  3 14      , 16  3 13      ,0.0222,0.15,-0.03546,0,0.349428217,0.15,0,0,0,1,0,0,0.208,0.15,-0.03546,0,0.283333333,0.15,0,0,0,1,0,0,0
12384230,1,1,9103.950803,8.41E-26,0.2035,1998.9953,75,69,1998.9953,          0 1 2,          0 0 0, 12  4  9      , 11  5  6      ,0.0761,0.73,-0.03803,0,0.110994846,0.73,0,0,0,1,0,0,0.268,0.73,-0.03803,0,0.09,0.73,0,0,0,1,0,0,0
11184669,1,2,9104.035338,2.39E-29,0.05749,2034.3769,45,39,2034.3769,          2 0 1,          0 1 0,  7  1  7      ,  6  1  6      ,0.0691,0.56,-0.01829,0,0.173479629,0.56,0,0,0,1,0,0,0.4,0.56,-0.01829,0,0.146666667,0.56,0,0,0,1,0,0,0
12384232,1,1,9104.038735,4.14E-29,3.08E-07,704.2141,45,45,704.2141,          1 3 0,          0 0 0,  7  6  1      ,  7  1  6      ,0.079,0.69,-0.00331,0,0.127438526,0.69,0,0,0,1,0,0,0.352,0.69,-0.00331,0,0.103333333,0.69,0,0,0,1,0,0,0
11184670,1,2,9104.039058,1.07E-27,0.008895,916.2576,57,57,916.2576,          0 1 2,          0 0 0,  9  1  8      ,  9  0  9      ,0.0565,0.47,-0.01891,0,0.208964099,0.47,0,0,0,1,0,0,0.271,0.47,-0.01891,0,0.176666667,0.47,0,0,0,1,0,0,0
11184672,1,3,9104.07148,1.63E-29,0.0003222,445.7192,78,78,445.7192,          1 1 1,          0 0 0,  6  4  3      ,  6  0  6      ,0.084,0.69,0.00561,0,0.124771507,0.69,0,0,0,1,0,0,0.454,0.69,0.00561,0,0.103333333,0.69,0,0,0,1,0,0,0
12384233,1,1,9104.18486,1.55E-27,0.02619,2414.7234,81,81,2414.7234,          0 1 2,          0 0 0, 13  4  9      , 13  3 10      ,0.0654,0.59,-0.00992,0,0.168547728,0.59,0,0,0,1,0,0,0.25,0.59,-0.00992,0,0.136666667,0.59,0,0,0,1,0,0,0
12384235,1,1,9104.231821,1.02E-26,0.0696,1817.4511,11,9,1817.4511,          2 0 1,          0 1 0,  5  0  5      ,  4  0  4      ,0.0891,0.7,-0.00628,0,0.123327606,0.7,0,0,0,1,0,0,0.4,0.7,-0.00628,0,0.1,0.7,0,0,0,1,0,0,0
12384236,1,1,9104.264576,1.28E-28,0.004032,2300.685,25,25,2300.685,          0 1 2,          0 0 0, 12  6  6      , 12  5  7      ,0.0735,0.68,-0.02934,0,0.131549447,0.68,0,0,0,1,0,0,0.265,0.68,-0.02934,0,0.106666667,0.68,0,0,0,1,0,0,0
12384237,1,1,9104.274254,7.99E-29,9.37E-06,1114.5323,21,21,1114.5323,          1 3 0,          0 0 0, 10  5  5      , 10  0 10      ,0.0734,0.68,-0.00468,0,0.131549447,0.68,0,0,0,1,0,0,0.298,0.68,-0.00468,0,0.106666667,0.68,0,0,0,1,0,0,0
12384238,1,1,9104.318983,1.46E-29,7.32E-07,1122.7085,51,51,1122.7085,          1 1 1,          0 0 0,  8  6  2      ,  8  4  5      ,0.0651,0.61,-0.02278,0,0.160325888,0.61,0,0,0,1,0,0,0.333,0.61,-0.02278,0,0.13,0.61,0,0,0,1,0,0,0
11184680,1,3,9104.348137,4.60E-29,0.01926,1128.9781,102,102,1128.9781,         -2-2-2,          0 0 0,  8 -1 -1      ,  8  4  4      ,0.0624,0.57,0,0,0.173070155,0.57,0,0,0,1,0,0,0.333,0.57,0,0,0.143333333,0.57,0,0,0,1,0,0,0
11184681,1,3,9104.470096,3.45E-29,0.001815,928.3273,306,270,928.3273,         -2-2-2,          0 0 0,  8 -1 -2      ,  7  4  3      ,0.067,0.61,0,0,0.156970606,0.61,0,0,0,1,0,0,0.352,0.61,0,0,0.13,0.61,0,0,0,1,0,0,0
11184682,1,4,9104.517571,1.17E-28,0.006586,743.0973,114,114,743.0973,          2 0 1,          0 0 0,  9  3  7      ,  9  2  8      ,0.057,0.79,-0.02049,0,0.084519182,0.79,0,0,0,1,0,0,0.662,0.79,-0.02049,0,0.07,0.79,0,0,0,1,0,0,0
12384239,1,1,9104.574343,1.29E-29,7.34E-05,1739.4836,9,7,1739.4836,          2 2 0,          0 1 0,  4  4  0      ,  3  1  3      ,0.0941,0.73,-0.00449,0,0.110994846,0.73,0,0,0,1,0,0,0.434,0.73,-0.00449,0,0.09,0.73,0,0,0,1,0,0,0
11184685,1,4,9104.61784,4.62E-28,0.006685,384.8756,78,78,384.8756,          2 0 1,          0 0 0,  6  3  4      ,  6  2  5      ,0.0845,0.79,-0.01292,0,0.084519182,0.79,0,0,0,1,0,0,0.495,0.79,-0.01292,0,0.07,0.79,0,0,0,1,0,0,0
11184686,1,3,9104.657479,1.44E-28,0.009209,742.4371,102,102,742.4371,         -2-2-2,          0 0 0,  8 -1 -1      ,  8  0  8      ,0.0624,0.57,0,0,0.173070155,0.57,0,0,0,1,0,0,0.333,0.57,0,0,0.143333333,0.57,0,0,0,1,0,0,0
11184687,1,4,9104.663138,1.56E-29,0.0002929,403.549,66,78,403.549,          3 1 0,          0 0 0,  5  1  5      ,  6  2  4      ,0.102,0.79,-0.02053,0,0.084519182,0.79,0,0,0,1,0,0,0.394,0.79,-0.02053,0,0.07,0.79,0,0,0,1,0,0,0
